project_id,environment,slot_type,mapping_status,retailer_moniker,first_job_date,last_job_date,days_span,total_jobs,active_days,total_slot_hours,avg_slot_hours_per_job,avg_concurrent_slots,avg_exec_seconds,p50_exec_seconds,p95_exec_seconds,p99_exec_seconds,max_exec_seconds,qos_violations,qos_violation_pct,total_cost_usd
monitor-f6c6dd2-us-prod,PROD,ON_DEMAND,UNMATCHED,,2025-09-02,2025-10-30,59,219,37,32.74,0.1495,51.72,4.26,2.0,14.0,24.0,58,2,0.91,1.61
monitor-0bd08b1-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-02,2025-10-27,56,614,9,30.92,0.0504,33.86,2.35,1.0,3.0,33.0,153,7,1.14,1.54
monitor-84c1734-us-prod,PROD,RESERVED,MATCHED,summitracing,2025-09-01,2025-10-31,61,544,29,29.42,0.0541,50.23,3.21,2.0,8.0,38.0,69,8,1.47,1.46
monitor-14b7102-us-prod,PROD,RESERVED,MATCHED,ninjakitchen,2025-09-01,2025-10-31,61,451,61,25.41,0.0563,20.26,4.44,2.0,15.0,20.0,89,1,0.22,1.27
monitor-4ca65a8-us-prod,PROD,ON_DEMAND,MATCHED,express,2025-09-01,2025-10-29,59,1344,19,21.94,0.0163,32.62,1.09,1.0,3.0,6.0,47,1,0.07,1.12
monitor-288311f-us-prod,PROD,RESERVED,MATCHED,crocs,2025-09-01,2025-10-27,57,163,9,20.43,0.1253,101.62,4.17,4.0,8.0,15.0,16,0,0.0,1.01
monitor-8066c59-us-prod,PROD,RESERVED,MATCHED,rapha,2025-09-01,2025-10-31,61,4703,61,19.07,0.0041,9.26,1.2,1.0,4.0,7.0,27,0,0.0,1.16
monitor-d39c446-us-prod,PROD,RESERVED,MATCHED,petsathome,2025-09-07,2025-10-31,55,829,7,18.3,0.0221,32.67,1.62,1.0,4.0,8.0,10,0,0.0,0.94
monitor-efc6e63-us-prod,PROD,RESERVED,MATCHED,johnhardy,2025-09-01,2025-10-31,61,1157,61,17.47,0.0151,15.24,1.64,1.0,5.0,11.0,30,0,0.0,0.91
monitor-7665638-us-prod,PROD,RESERVED,MATCHED,ninja-kitchen-emea,2025-09-01,2025-10-31,61,6632,61,16.87,0.0025,5.71,1.49,1.0,4.0,8.0,56,4,0.06,1.14
monitor-c9acea9-us-prod,PROD,ON_DEMAND,UNMATCHED,,2025-09-02,2025-10-21,50,122,6,16.44,0.1348,155.1,2.27,2.0,5.0,7.0,13,0,0.0,0.81
monitor-3125e92-us-prod,PROD,RESERVED,MATCHED,vowdweddings,2025-09-01,2025-10-31,61,243,54,15.88,0.0653,112.86,1.94,2.0,4.0,12.0,14,0,0.0,0.79
monitor-06c1cf5-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,854,61,14.89,0.0174,16.55,1.78,1.0,5.0,14.0,49,3,0.35,0.77
monitor-8d90065-us-prod,PROD,ON_DEMAND,MATCHED,cabelas,2025-09-03,2025-10-31,59,331,55,14.88,0.045,69.27,1.8,1.0,4.0,7.0,15,0,0.0,0.74
monitor-cf13a70-us-prod,PROD,RESERVED,MATCHED,canadagoose,2025-09-11,2025-10-30,50,517,14,14.76,0.0285,43.14,1.89,1.0,5.0,13.0,54,2,0.39,0.74
monitor-e389a21-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,244,61,14.14,0.058,58.13,4.91,2.0,12.0,17.0,140,1,0.41,0.7
monitor-661a87b-us-prod,PROD,RESERVED,MATCHED,ulta,2025-10-07,2025-10-21,15,97,4,13.46,0.1388,113.22,3.42,3.0,12.0,12.0,12,0,0.0,0.67
