analysis_period_label,total_queries,unique_users,unique_projects,days_in_period,avg_execution_seconds,p50_execution_seconds,p95_execution_seconds,p99_execution_seconds,max_execution_seconds,total_slot_hours,avg_concurrent_slots,total_cost_usd,avg_cost_per_query_usd,cost_reserved_shared,cost_on_demand,total_tb_scanned,avg_gb_per_query,qos_violations,violation_pct,violation_pct_reserved,violation_pct_on_demand,queries_reserved_shared,queries_on_demand,queries_reserved_pipeline,queries_with_joins,queries_with_group_by,queries_with_window_functions,queries_with_cte,avg_query_length
Baseline_2025_Sep_Oct,322553,2,2,61,2.66,1.0,8.0,28.0,2134.0,13525.33,22.02,678.32,0.002103,678.31,0.0,1927.57,6.21,0,0.0,0.0,0.0,322530,23,0,6963,49158,49595,75870,423.0
Peak_2024_2025,489457,2,2,92,4.39,2.0,12.0,45.0,3379.0,40987.05,39.16,2035.72,0.004159,2035.72,0.0,3799.88,8.03,0,0.0,0.0,,489457,0,0,11528,87103,70705,120463,423.0
