project_id,consumer_subcategory,retailer_moniker,total_jobs,active_days,total_slot_hours,avg_slot_hours_per_job,avg_concurrent_slots,avg_exec_seconds,p50_exec_seconds,p95_exec_seconds,p99_exec_seconds,max_exec_seconds,qos_violations,qos_violation_pct,total_cost_usd,environment
monitor-f9d80c0-us-prod,MONITOR,vansnora,310,6,4.75,0.0153,28.7,2.05,1.0,5.0,12.0,180,1,0.32,0.25,PROD
monitor-79aed05-us-prod,MONITOR,patagonia,123,3,4.59,0.0373,43.56,2.66,1.0,7.0,9.0,56,1,0.81,0.23,PROD
monitor-61e5511-us-prod,MONITOR,johnnywas,196,6,4.59,0.0234,32.89,1.99,1.0,6.0,13.0,14,0,0.0,0.23,PROD
monitor-b48abf8-us-prod,MONITOR_UNMATCHED,,244,61,4.14,0.017,18.76,2.14,2.0,6.0,9.0,12,0,0.0,0.2,PROD
monitor-ebf3869-us-prod,MONITOR_UNMATCHED,,212,5,4.07,0.0192,9.33,1.58,1.0,4.0,8.0,89,1,0.47,0.21,PROD
monitor-9033e6d-us-prod,MONITOR,bjs,815,45,3.78,0.0046,6.37,2.0,1.0,4.0,13.0,135,4,0.49,0.22,PROD
monitor-5ec2e6d-us-prod,MONITOR,vancleefarpels,621,15,3.66,0.0059,15.16,1.24,1.0,3.0,9.0,23,0,0.0,0.2,PROD
monitor-e484c78-us-prod,MONITOR,logitech,414,61,3.27,0.0079,15.98,1.26,1.0,4.0,6.0,15,0,0.0,0.18,PROD
monitor-4029105-us-prod,MONITOR,taylormade,146,2,3.02,0.0207,26.55,1.99,1.0,6.0,22.0,29,0,0.0,0.15,PROD
monitor-9b0c9a8-us-prod,MONITOR,warbyparker,81,7,3.01,0.0372,45.52,2.14,2.0,5.0,14.0,14,0,0.0,0.15,PROD
monitor-5d23cc8-us-prod,MONITOR,clinique,420,7,2.95,0.007,11.83,1.5,1.0,3.0,5.0,134,1,0.24,0.15,PROD
monitor-b6bb43d-us-prod,MONITOR,ae,17,1,2.95,0.1735,208.15,2.12,2.0,5.0,5.0,5,0,0.0,0.15,PROD
monitor-6868915-us-prod,MONITOR,marriott-premium,497,8,2.92,0.0059,15.11,1.14,1.0,3.0,7.0,33,1,0.2,0.17,PROD
monitor-1f6c408-us-prod,MONITOR,crewclothing,916,61,2.84,0.0031,4.8,1.5,1.0,4.0,8.0,74,3,0.33,0.14,PROD
monitor-775c341-us-prod,MONITOR,asrevival,50,40,2.83,0.0566,103.82,1.7,1.0,4.0,10.0,10,0,0.0,0.14,PROD
monitor-dd2e1ee-us-prod,MONITOR,saucony,166,4,2.83,0.017,21.73,1.86,1.0,7.0,22.0,26,0,0.0,0.14,PROD
monitor-4b91c7d-us-prod,MONITOR,sharkclean-emea,179,8,2.75,0.0154,26.58,2.21,1.0,8.0,22.0,29,0,0.0,0.14,PROD
