retailer_moniker,shipment_count,order_count,return_count,shipments_production_cost_usd,orders_production_cost_usd,returns_production_cost_usd,total_production_cost_usd,consumption_cost_usd,consumption_slot_hours,query_count,first_query_date,last_query_date,query_days_active,avg_queries_per_day,total_cost_usd,consumption_to_production_ratio,consumption_pct_of_total
neweracap,213415,0,0,17.99,0.0,0.0,17.99,0.0,0.0,0,,,1,0.0,17.99,0.0,0.0
justfab,190089,152269,0,16.03,1.89,0.0,17.92,0.0,0.0,0,,,1,0.0,17.92,0.0,0.0
blinds,212367,0,0,17.91,0.0,0.0,17.91,0.0,0.0,0,,,1,0.0,17.91,0.0,0.0
bananarepublicca,53225,0,209559,4.49,0.0,13.42,17.91,0.0,0.0,0,,,1,0.0,17.91,0.0,0.0
shiseido,197785,87422,0,16.68,1.09,0.0,17.77,0.0,0.0,0,,,1,0.0,17.77,0.0,0.0
altrarunning,129102,216588,63245,10.89,2.69,4.05,17.63,0.04959999999999999,0.9800000000000003,91,2025-09-17,2025-10-03,17,5.35,17.6796,0.0028,0.0028
mackenziechilds,177439,187140,5741,14.96,2.32,0.37,17.650000000000002,0.0244,0.49999999999999994,31,2025-09-10,2025-10-24,45,0.69,17.674400000000002,0.0014,0.0014
johnston-murphy,150855,160943,45965,12.72,2.0,2.94,17.66,0.0,0.0,0,,,1,0.0,17.66,0.0,0.0
prana,105183,203464,94870,8.87,2.53,6.08,17.479999999999997,0.0,0.0,0,,,1,0.0,17.479999999999997,0.0,0.0
babeoriginal,65009,959046,0,5.48,11.91,0.0,17.39,0.0,0.0,0,,,1,0.0,17.39,0.0,0.0
burtonsnowboards,147320,200782,37248,12.42,2.49,2.39,17.3,0.0,0.0,0,,,1,0.0,17.3,0.0,0.0
simplehuman,205010,0,0,17.29,0.0,0.0,17.29,0.0,0.0,0,,,1,0.0,17.29,0.0,0.0
montirex,203882,0,0,17.19,0.0,0.0,17.19,0.0,0.0,0,,,1,0.0,17.19,0.0,0.0
theblacktux,203685,0,0,17.17,0.0,0.0,17.17,0.0,0.0,0,,,1,0.0,17.17,0.0,0.0
jdsports1,202111,0,0,17.04,0.0,0.0,17.04,0.0,0.0,0,,,1,0.0,17.04,0.0,0.0
acmetools,200824,0,0,16.93,0.0,0.0,16.93,0.0,0.0,0,,,1,0.0,16.93,0.0,0.0
partnerbrands1,200256,0,0,16.89,0.0,0.0,16.89,0.0,0.0,0,,,1,0.0,16.89,0.0,0.0
columbia,90550,221381,96270,7.63,2.75,6.16,16.54,0.0,0.0,0,,,1,0.0,16.54,0.0,0.0
ninjathirsti,196128,0,0,16.54,0.0,0.0,16.54,0.0,0.0,0,,,1,0.0,16.54,0.0,0.0
sorel1,122094,239412,50482,10.29,2.97,3.23,16.49,0.0,0.0,0,,,1,0.0,16.49,0.0,0.0
kerastaseusa,145222,296724,7941,12.24,3.69,0.51,16.44,0.0,0.0,0,,,1,0.0,16.44,0.0,0.0
brilliantearth,160095,209599,1965,13.5,2.6,0.13,16.23,0.1579,2.74,1104,2025-09-01,2025-10-31,61,18.1,16.387900000000002,0.0097,0.0096
toddsnyder,59686,911809,0,5.03,11.33,0.0,16.36,0.0,0.0,0,,,1,0.0,16.36,0.0,0.0
hauslabs,85572,719761,0,7.22,8.94,0.0,16.16,0.0,0.0,0,,,1,0.0,16.16,0.0,0.0
nicandzoe1,12,1291159,0,0.0,16.04,0.0,16.04,0.0,0.0,0,,,1,0.0,16.04,0.0,0.0
proplanvetdirect,165435,167054,0,13.95,2.08,0.0,16.03,0.0,0.0,0,,,1,0.0,16.03,0.0,0.0
boostmobile,165789,163846,0,13.98,2.04,0.0,16.02,0.0,0.0,0,,,1,0.0,16.02,0.0,0.0
famoussmokeshop,101787,595900,0,8.58,7.4,0.0,15.98,0.0,0.0,0,,,1,0.0,15.98,0.0,0.0
eileenfisher,57803,253838,123198,4.87,3.15,7.89,15.91,0.0,0.0,0,,,1,0.0,15.91,0.0,0.0
publicrec,148378,266935,0,12.51,3.32,0.0,15.83,0.0,0.0,0,,,1,0.0,15.83,0.0,0.0
womensbesteu,162931,168205,0,13.74,2.09,0.0,15.83,0.0,0.0,0,,,1,0.0,15.83,0.0,0.0
disturbia-uk,119039,465450,0,10.04,5.78,0.0,15.82,0.0,0.0,0,,,1,0.0,15.82,0.0,0.0
caleres,186777,0,0,15.75,0.0,0.0,15.75,0.0,0.0,0,,,1,0.0,15.75,0.0,0.0
verabradley,135339,282113,11919,11.41,3.5,0.76,15.67,0.0324,0.64,20,2025-09-25,2025-10-14,20,1.0,15.7024,0.0021,0.0021
competitivecyclist,51941,818140,18083,4.38,10.16,1.16,15.7,0.0,0.0,0,,,1,0.0,15.7,0.0,0.0
splendid,136232,129066,35155,11.49,1.6,2.25,15.34,0.0761,1.5200000000000002,80,2025-10-10,2025-10-20,11,7.27,15.4161,0.005,0.0049
bergdorfgoodman,98751,175843,75084,8.33,2.18,4.81,15.32,0.0,0.0,0,,,1,0.0,15.32,0.0,0.0
humnutrition,141028,276431,0,11.89,3.43,0.0,15.32,0.0,0.0,0,,,1,0.0,15.32,0.0,0.0
smithoptics,163477,62564,6540,13.78,0.78,0.42,14.979999999999999,0.3238,6.220000000000001,354,2025-09-01,2025-10-27,57,6.21,15.303799999999999,0.0216,0.0212
govx,167538,93392,0,14.13,1.16,0.0,15.290000000000001,0.0,0.0,0,,,1,0.0,15.290000000000001,0.0,0.0
crocsnew,179904,0,0,15.17,0.0,0.0,15.17,0.0,0.0,0,,,1,0.0,15.17,0.0,0.0
samedelman,156565,148493,0,13.2,1.84,0.0,15.04,0.0,0.0,0,,,1,0.0,15.04,0.0,0.0
gilt,178304,0,0,15.03,0.0,0.0,15.03,0.0,0.0,0,,,1,0.0,15.03,0.0,0.0
diptyque,112847,401065,5987,9.52,4.98,0.38,14.88,0.06339999999999998,1.1600000000000004,211,2025-10-22,2025-10-31,10,21.1,14.9434,0.0043,0.0042
uniqlonew,177173,0,0,14.94,0.0,0.0,14.94,0.0,0.0,0,,,1,0.0,14.94,0.0,0.0
garmin-dealer,155962,133451,0,13.15,1.66,0.0,14.81,0.0,0.0,0,,,1,0.0,14.81,0.0,0.0
skinceuticals,130087,268956,7222,10.97,3.34,0.46,14.770000000000001,0.0,0.0,0,,,1,0.0,14.770000000000001,0.0,0.0
wacoalamerica,83917,342742,53263,7.08,4.26,3.41,14.75,0.0,0.0,0,,,1,0.0,14.75,0.0,0.0
maisonette,112286,337104,14823,9.47,4.19,0.95,14.61,0.0,0.0,0,,,1,0.0,14.61,0.0,0.0
scrubsandbeyond,88740,535131,6569,7.48,6.65,0.42,14.55,0.0401,0.45999999999999996,230,2025-09-03,2025-10-30,58,3.97,14.590100000000001,0.0028,0.0027
icebreakernora,23504,973014,7714,1.98,12.09,0.49,14.56,0.0169,0.32000000000000006,23,2025-09-16,2025-09-25,10,2.3,14.5769,0.0012,0.0012
titlenine,20605,233034,154821,1.74,2.89,9.91,14.54,0.0,0.0,0,,,1,0.0,14.54,0.0,0.0
johnnywas,90851,318224,40840,7.66,3.95,2.62,14.23,0.2255000000000001,4.590000000000002,196,2025-09-12,2025-10-14,33,5.94,14.4555,0.0158,0.0156
selery,171379,0,0,14.45,0.0,0.0,14.45,0.0,0.0,0,,,1,0.0,14.45,0.0,0.0
bombshellsportswear,28360,968004,0,2.39,12.02,0.0,14.41,0.0,0.0,0,,,1,0.0,14.41,0.0,0.0
hobbs,100198,273767,38278,8.45,3.4,2.45,14.3,0.0,0.0,0,,,1,0.0,14.3,0.0,0.0
oneractiveuk,72250,660189,0,6.09,8.2,0.0,14.29,0.0,0.0,0,,,1,0.0,14.29,0.0,0.0
fossil,142477,147464,6207,12.01,1.83,0.4,14.24,0.0,0.0,0,,,1,0.0,14.24,0.0,0.0
herbalifenutritioncs,146893,146299,0,12.39,1.82,0.0,14.21,0.0,0.0,0,,,1,0.0,14.21,0.0,0.0
harmanaudio,140709,184889,0,11.86,2.3,0.0,14.16,0.0,0.0,0,,,1,0.0,14.16,0.0,0.0
moltonbrown,120680,313257,0,10.18,3.89,0.0,14.07,0.0,0.0,0,,,1,0.0,14.07,0.0,0.0
today,103361,426840,4,8.72,5.3,0.0,14.02,0.0,0.0,0,,,1,0.0,14.02,0.0,0.0
caddislife,33644,898360,0,2.84,11.16,0.0,14.0,0.0,0.0,0,,,1,0.0,14.0,0.0,0.0
revitalash,25178,954242,0,2.12,11.85,0.0,13.969999999999999,0.0,0.0,0,,,1,0.0,13.969999999999999,0.0,0.0
complex,74406,619172,0,6.27,7.69,0.0,13.96,0.0,0.0,0,,,1,0.0,13.96,0.0,0.0
wilderdog,30642,905134,0,2.58,11.24,0.0,13.82,0.0,0.0,0,,,1,0.0,13.82,0.0,0.0
henryschein-gep-us,142546,144637,0,12.02,1.8,0.0,13.82,0.0,0.0,0,,,1,0.0,13.82,0.0,0.0
nutrisystem,163592,0,0,13.79,0.0,0.0,13.79,0.0,0.0,0,,,1,0.0,13.79,0.0,0.0
theshoecompany,133173,175053,5110,11.23,2.17,0.33,13.73,0.0,0.0,0,,,1,0.0,13.73,0.0,0.0
ohpollyus,103599,401437,0,8.74,4.99,0.0,13.73,0.0,0.0,0,,,1,0.0,13.73,0.0,0.0
Medline,162328,0,0,13.69,0.0,0.0,13.69,0.0,0.0,0,,,1,0.0,13.69,0.0,0.0
francescas2,102109,124594,53273,8.61,1.55,3.41,13.57,0.0801,1.610000000000001,55,2025-09-16,2025-10-23,38,1.45,13.6501,0.0059,0.0059
naturalizer,142095,134176,0,11.98,1.67,0.0,13.65,0.0,0.0,0,,,1,0.0,13.65,0.0,0.0
jpcycles,141645,135193,0,11.94,1.68,0.0,13.62,0.0,0.0,0,,,1,0.0,13.62,0.0,0.0
groovelife,103704,387490,0,8.74,4.81,0.0,13.55,0.0,0.0,0,,,1,0.0,13.55,0.0,0.0
phase-eight,100258,283875,22203,8.45,3.53,1.42,13.399999999999999,0.043699999999999996,0.9,54,2025-09-01,2025-10-27,57,0.95,13.443699999999998,0.0033,0.0033
honeybakedonline,139817,127308,0,11.79,1.58,0.0,13.37,0.0,0.0,0,,,1,0.0,13.37,0.0,0.0
smartwool,109065,211752,21662,9.2,2.63,1.39,13.219999999999999,0.0461,0.8900000000000003,69,2025-09-16,2025-10-15,30,2.3,13.266099999999998,0.0035,0.0035
brownells,130733,133579,7761,11.02,1.66,0.5,13.18,0.0314,0.55,89,2025-09-01,2025-10-28,58,1.53,13.2114,0.0024,0.0024
ayr,63694,628152,0,5.37,7.8,0.0,13.17,0.0,0.0,0,,,1,0.0,13.17,0.0,0.0
ring,61740,508024,25466,5.21,6.31,1.63,13.149999999999999,0.0,0.0,0,,,1,0.0,13.149999999999999,0.0,0.0
rapha,84110,67547,63313,7.09,0.84,4.05,11.98,1.1595999999999995,19.070000000000004,4703,2025-09-01,2025-10-31,61,77.1,13.1396,0.0968,0.0883
cosmoprofreturns,130629,126563,7218,11.01,1.57,0.46,13.040000000000001,0.006600000000000001,0.06,46,2025-09-08,2025-10-24,47,0.98,13.046600000000002,5.0E-4,5.0E-4
jrcigars,133143,137460,521,11.23,1.71,0.03,12.97,2.0E-4,0.0,8,2025-09-16,2025-10-10,25,0.32,12.9702,0.0,0.0
musiciansfriend,120474,224306,0,10.16,2.79,0.0,12.95,0.0,0.0,0,,,1,0.0,12.95,0.0,0.0
carharttemea,127219,86913,16580,10.73,1.08,1.06,12.870000000000001,0.0,0.0,0,,,1,0.0,12.870000000000001,0.0,0.0
lenovo-eu,151885,0,0,12.81,0.0,0.0,12.81,0.0,0.0,0,,,1,0.0,12.81,0.0,0.0
cummins,147876,13709,203,12.47,0.17,0.01,12.65,0.07899999999999999,1.52,294,2025-09-09,2025-10-27,49,6.0,12.729000000000001,0.0062,0.0062
olaplex,114186,246302,0,9.63,3.06,0.0,12.690000000000001,0.0,0.0,0,,,1,0.0,12.690000000000001,0.0,0.0
nydj,114525,242273,0,9.66,3.01,0.0,12.67,0.0,0.0,0,,,1,0.0,12.67,0.0,0.0
shoestation,118763,176640,5419,10.01,2.19,0.35,12.549999999999999,0.0,0.0,0,,,1,0.0,12.549999999999999,0.0,0.0
specialized,131276,71621,6774,11.07,0.89,0.43,12.39,0.12159999999999997,1.9600000000000013,387,2025-09-01,2025-10-31,61,6.34,12.511600000000001,0.0098,0.0097
size-jdsports-emea,108520,268929,0,9.15,3.34,0.0,12.49,0.0,0.0,0,,,1,0.0,12.49,0.0,0.0
lush,146432,0,0,12.35,0.0,0.0,12.35,0.0,0.0,0,,,1,0.0,12.35,0.0,0.0
vionicshoes,129481,113903,0,10.92,1.41,0.0,12.33,0.0,0.0,0,,,1,0.0,12.33,0.0,0.0
omegawatches,146014,0,0,12.31,0.0,0.0,12.31,0.0,0.0,0,,,1,0.0,12.31,0.0,0.0
sundayred,18586,824832,7186,1.57,10.25,0.46,12.280000000000001,0.026499999999999954,0.40000000000000013,108,2025-09-13,2025-09-13,1,108.0,12.306500000000002,0.0022,0.0022
zales,99272,277291,7220,8.37,3.44,0.46,12.27,0.0173,0.29,54,2025-09-01,2025-10-27,57,0.95,12.2873,0.0014,0.0014
stuartweitzman,98070,201736,22889,8.27,2.51,1.47,12.25,0.0,0.0,0,,,1,0.0,12.25,0.0,0.0
tatcha,99769,273370,5856,8.41,3.4,0.38,12.190000000000001,0.05489999999999999,1.0500000000000003,82,2025-09-25,2025-10-02,8,10.25,12.244900000000001,0.0045,0.0045
blueair,110740,225388,1494,9.34,2.8,0.1,12.24,0.0,0.0,0,,,1,0.0,12.24,0.0,0.0
bluemercury,84693,406627,0,7.14,5.05,0.0,12.19,0.0,0.0,0,,,1,0.0,12.19,0.0,0.0
hammacher,107365,248760,0,9.05,3.09,0.0,12.14,0.0,0.0,0,,,1,0.0,12.14,0.0,0.0
stanley1913uk,106445,252678,0,8.98,3.14,0.0,12.120000000000001,0.0,0.0,0,,,1,0.0,12.120000000000001,0.0,0.0
atmos-tokyo,110771,207472,2350,9.34,2.58,0.15,12.07,0.0,0.0,0,,,1,0.0,12.07,0.0,0.0
plowandhearth,141375,0,0,11.92,0.0,0.0,11.92,0.0,0.0,0,,,1,0.0,11.92,0.0,0.0
davidyurman,81107,303178,20272,6.84,3.77,1.3,11.91,0.0092,0.18,7,2025-10-06,2025-10-23,18,0.39,11.9192,8.0E-4,8.0E-4
jmbullion,126401,90017,0,10.66,1.12,0.0,11.780000000000001,0.0,0.0,0,,,1,0.0,11.780000000000001,0.0,0.0
firstliteapparel,71079,463187,0,5.99,5.75,0.0,11.74,0.0,0.0,0,,,1,0.0,11.74,0.0,0.0
myollie,139281,0,0,11.74,0.0,0.0,11.74,0.0,0.0,0,,,1,0.0,11.74,0.0,0.0
kutfromkloth,92431,311632,0,7.79,3.87,0.0,11.66,0.0,0.0,0,,,1,0.0,11.66,0.0,0.0
dickieslife,96569,109221,33027,8.14,1.36,2.11,11.61,0.011,0.19,40,2025-09-02,2025-10-27,56,0.71,11.620999999999999,9.0E-4,9.0E-4
laneige,96054,267244,1863,8.1,3.32,0.12,11.54,0.0,0.0,0,,,1,0.0,11.54,0.0,0.0
westmarine,89274,310412,2025,7.53,3.86,0.13,11.520000000000001,0.0,0.0,0,,,1,0.0,11.520000000000001,0.0,0.0
particleformen,117195,130072,0,9.88,1.62,0.0,11.5,0.0,0.0,0,,,1,0.0,11.5,0.0,0.0
canadagoose,81022,142945,33424,6.83,1.78,2.14,10.75,0.7381000000000002,14.760000000000003,517,2025-09-11,2025-10-30,50,10.34,11.4881,0.0687,0.0642
anastasiabeverlyhills,64959,469237,0,5.48,5.83,0.0,11.31,0.0,0.0,0,,,1,0.0,11.31,0.0,0.0
outletasics,70555,228297,38957,5.95,2.84,2.49,11.28,0.0,0.0,0,,,1,0.0,11.28,0.0,0.0
sur-la-table,26839,594407,22085,2.26,7.38,1.41,11.05,0.0,0.0,0,,,1,0.0,11.05,0.0,0.0
fijiwater,130954,0,0,11.04,0.0,0.0,11.04,0.0,0.0,0,,,1,0.0,11.04,0.0,0.0
thompson,102122,178377,0,8.61,2.22,0.0,10.83,0.0,0.0,0,,,1,0.0,10.83,0.0,0.0
harleydavidson,89474,264284,0,7.54,3.28,0.0,10.82,0.0,0.0,0,,,1,0.0,10.82,0.0,0.0
snakeriverfarms,91820,247478,0,7.74,3.07,0.0,10.81,0.0,0.0,0,,,1,0.0,10.81,0.0,0.0
qureskincare,90426,254931,0,7.62,3.17,0.0,10.79,0.0,0.0,0,,,1,0.0,10.79,0.0,0.0
balibras,45064,432609,24672,3.8,5.37,1.58,10.75,0.0,0.0,0,,,1,0.0,10.75,0.0,0.0
clarevivier,22295,704658,0,1.88,8.75,0.0,10.629999999999999,0.0,0.0,0,,,1,0.0,10.629999999999999,0.0,0.0
pipesandcigars,46416,539616,0,3.91,6.7,0.0,10.61,0.0,0.0,0,,,1,0.0,10.61,0.0,0.0
golfgalaxy,98375,182925,0,8.29,2.27,0.0,10.559999999999999,0.0,0.0,0,,,1,0.0,10.559999999999999,0.0,0.0
musclerepublic,84267,274827,0,7.11,3.41,0.0,10.52,0.0,0.0,0,,,1,0.0,10.52,0.0,0.0
arcteryxoutlet,110042,98693,0,9.28,1.23,0.0,10.51,0.0,0.0,0,,,1,0.0,10.51,0.0,0.0
marcjacobs,81775,213108,14632,6.9,2.65,0.94,10.49,0.009,0.21000000000000005,27,2025-10-24,2025-10-24,1,27.0,10.499,9.0E-4,9.0E-4
hottopicnew,124353,0,0,10.49,0.0,0.0,10.49,0.0,0.0,0,,,1,0.0,10.49,0.0,0.0
mikuta,109954,97218,0,9.27,1.21,0.0,10.48,0.0,0.0,0,,,1,0.0,10.48,0.0,0.0
keenfootwear,124041,0,0,10.46,0.0,0.0,10.46,0.0,0.0,0,,,1,0.0,10.46,0.0,0.0
hsastore,97677,175306,0,8.24,2.18,0.0,10.42,0.0,0.0,0,,,1,0.0,10.42,0.0,0.0
melanielyneorderstatus,62951,411484,0,5.31,5.11,0.0,10.42,0.0,0.0,0,,,1,0.0,10.42,0.0,0.0
kieljamespatrick,28044,641992,0,2.36,7.97,0.0,10.33,0.0,0.0,0,,,1,0.0,10.33,0.0,0.0
seqirus,122355,0,0,10.32,0.0,0.0,10.32,0.0,0.0,0,,,1,0.0,10.32,0.0,0.0
destinationxl,121635,0,0,10.26,0.0,0.0,10.26,0.0,0.0,0,,,1,0.0,10.26,0.0,0.0
katespadeeurope,105671,62278,8846,8.91,0.77,0.57,10.25,0.0,0.0,0,,,1,0.0,10.25,0.0,0.0
solostove,102751,103359,3698,8.66,1.28,0.24,10.18,0.044800000000000006,0.91,54,2025-09-01,2025-10-27,57,0.95,10.2248,0.0044,0.0044
stanley1913br,664,815092,0,0.06,10.12,0.0,10.18,0.0,0.0,0,,,1,0.0,10.18,0.0,0.0
vivobarefoot-uk,92054,194290,0,7.76,2.41,0.0,10.17,0.0,0.0,0,,,1,0.0,10.17,0.0,0.0
dreamcloudsleep,97292,155406,0,8.2,1.93,0.0,10.129999999999999,0.0,0.0,0,,,1,0.0,10.129999999999999,0.0,0.0
happyhead,104131,107611,0,8.78,1.34,0.0,10.12,0.0,0.0,0,,,1,0.0,10.12,0.0,0.0
saje,104400,104527,0,8.8,1.3,0.0,10.100000000000001,0.0,0.0,0,,,1,0.0,10.100000000000001,0.0,0.0
castore,99238,136423,0,8.37,1.69,0.0,10.059999999999999,0.0,0.0,0,,,1,0.0,10.059999999999999,0.0,0.0
benchmade,87164,215312,0,7.35,2.67,0.0,10.02,0.0,0.0,0,,,1,0.0,10.02,0.0,0.0
jensonusa,92899,172294,0,7.83,2.14,0.0,9.97,0.0,0.0,0,,,1,0.0,9.97,0.0,0.0
rodanandfields,113733,2152,4007,9.59,0.03,0.26,9.879999999999999,0.0,0.0,0,,,1,0.0,9.879999999999999,0.0,0.0
waltwines,6742,733256,0,0.57,9.11,0.0,9.68,0.0,0.0,0,,,1,0.0,9.68,0.0,0.0
kindthread,109032,38509,0,9.19,0.48,0.0,9.67,0.0,0.0,0,,,1,0.0,9.67,0.0,0.0
venus,51265,425563,0,4.32,5.29,0.0,9.61,0.0,0.0,0,,,1,0.0,9.61,0.0,0.0
eightsleep,40067,495193,0,3.38,6.15,0.0,9.530000000000001,0.0,0.0,0,,,1,0.0,9.530000000000001,0.0,0.0
nikenew,110462,0,0,9.31,0.0,0.0,9.31,0.0,0.0,0,,,1,0.0,9.31,0.0,0.0
wawak,96603,88307,0,8.15,1.1,0.0,9.25,0.0,0.0,0,,,1,0.0,9.25,0.0,0.0
tommyjohn,109641,0,0,9.24,0.0,0.0,9.24,0.0,0.0,0,,,1,0.0,9.24,0.0,0.0
voomisupply,94801,97248,0,7.99,1.21,0.0,9.2,0.0,0.0,0,,,1,0.0,9.2,0.0,0.0
legionathletics,107838,0,0,9.09,0.0,0.0,9.09,0.09260000000000002,1.530000000000001,488,2025-09-01,2025-10-31,61,8.0,9.1826,0.0102,0.0101
underarmourreturns,64728,296231,0,5.46,3.68,0.0,9.14,0.0,0.0,0,,,1,0.0,9.14,0.0,0.0
cigarbid,83622,167844,0,7.05,2.08,0.0,9.129999999999999,0.0,0.0,0,,,1,0.0,9.129999999999999,0.0,0.0
elemis,74192,230350,0,6.26,2.86,0.0,9.12,0.0,0.0,0,,,1,0.0,9.12,0.0,0.0
dwr,107421,0,0,9.06,0.0,0.0,9.06,0.0,0.0,0,,,1,0.0,9.06,0.0,0.0
eastpak,67088,209430,11484,5.66,2.6,0.74,9.0,0.0013,0.01,39,2025-09-02,2025-10-29,58,0.67,9.0013,1.0E-4,1.0E-4
cyclegear,94276,82609,0,7.95,1.03,0.0,8.98,0.0,0.0,0,,,1,0.0,8.98,0.0,0.0
fedex-commercial,105861,0,0,8.93,0.0,0.0,8.93,0.0,0.0,0,,,1,0.0,8.93,0.0,0.0
keds,70762,65431,32587,5.97,0.81,2.09,8.87,0.056600000000000004,1.0900000000000003,112,2025-09-02,2025-10-27,56,2.0,8.926599999999999,0.0064,0.0063
rufflebutts,72740,224251,0,6.13,2.79,0.0,8.92,0.0,0.0,0,,,1,0.0,8.92,0.0,0.0
dswca,85895,112261,4343,7.24,1.39,0.28,8.91,0.0,0.0,0,,,1,0.0,8.91,0.0,0.0
oneractive,96502,58070,168,8.14,0.72,0.01,8.870000000000001,0.0,0.0,0,,,1,0.0,8.870000000000001,0.0,0.0
pendleton,87142,120259,0,7.35,1.49,0.0,8.84,0.0,0.0,0,,,1,0.0,8.84,0.0,0.0
clarinsusa,91718,88876,0,7.73,1.1,0.0,8.83,0.0,0.0,0,,,1,0.0,8.83,0.0,0.0
rag-bone,97811,45360,0,8.25,0.56,0.0,8.81,0.0,0.0,0,,,1,0.0,8.81,0.0,0.0
theory,62673,69258,41511,5.28,0.86,2.66,8.8,0.0,0.0,0,,,1,0.0,8.8,0.0,0.0
rexmd,99832,27774,0,8.42,0.35,0.0,8.77,0.0,0.0,0,,,1,0.0,8.77,0.0,0.0
thuma,92781,74023,0,7.82,0.92,0.0,8.74,0.0,0.0,0,,,1,0.0,8.74,0.0,0.0
shoplc-returns,20695,560542,0,1.74,6.96,0.0,8.7,0.0,0.0,0,,,1,0.0,8.7,0.0,0.0
deximaging,95798,48113,0,8.08,0.6,0.0,8.68,0.0,0.0,0,,,1,0.0,8.68,0.0,0.0
whistles,64832,191897,12777,5.47,2.38,0.82,8.67,0.0,0.0,0,,,1,0.0,8.67,0.0,0.0
beautyworks,70685,200346,3309,5.96,2.49,0.21,8.66,0.0042,0.04,30,2025-09-25,2025-09-25,1,30.0,8.664200000000001,5.0E-4,5.0E-4
new balance,102112,0,0,8.61,0.0,0.0,8.61,0.0,0.0,0,,,1,0.0,8.61,0.0,0.0
icebreakerapac,0,691078,0,0.0,8.58,0.0,8.58,0.0,0.0,0,,,1,0.0,8.58,0.0,0.0
vivobarefoot-us,61731,265919,0,5.21,3.3,0.0,8.51,0.0,0.0,0,,,1,0.0,8.51,0.0,0.0
oobe,44669,253912,24311,3.77,3.15,1.56,8.48,0.0,0.0,0,,,1,0.0,8.48,0.0,0.0
newtonbaby,85531,101249,0,7.21,1.26,0.0,8.47,0.0,0.0,0,,,1,0.0,8.47,0.0,0.0
jackwolfskin,90331,66260,0,7.62,0.82,0.0,8.44,0.0,0.0,0,,,1,0.0,8.44,0.0,0.0
uk-representclo,70119,200792,0,5.91,2.49,0.0,8.4,0.0,0.0,0,,,1,0.0,8.4,0.0,0.0
gozneyus,97255,13551,0,8.2,0.17,0.0,8.37,0.0,0.0,0,,,1,0.0,8.37,0.0,0.0
moroccanoil,98979,0,0,8.35,0.0,0.0,8.35,0.0,0.0,0,,,1,0.0,8.35,0.0,0.0
stio,63858,237488,0,5.38,2.95,0.0,8.33,0.0,0.0,0,,,1,0.0,8.33,0.0,0.0
autoshack,92177,40690,317,7.77,0.51,0.02,8.299999999999999,0.0,0.0,0,,,1,0.0,8.299999999999999,0.0,0.0
lecreuset,77194,139613,0,6.51,1.73,0.0,8.24,0.0,0.0,0,,,1,0.0,8.24,0.0,0.0
cutsclothing,54435,293664,0,4.59,3.65,0.0,8.24,0.0,0.0,0,,,1,0.0,8.24,0.0,0.0
purple,74574,150859,0,6.29,1.87,0.0,8.16,0.0,0.0,0,,,1,0.0,8.16,0.0,0.0
represent,96624,0,0,8.15,0.0,0.0,8.15,0.0,0.0,0,,,1,0.0,8.15,0.0,0.0
betseyjohnson,56493,265119,0,4.76,3.29,0.0,8.05,0.0,0.0,0,,,1,0.0,8.05,0.0,0.0
ergobabyuk,93564,2508,216,7.89,0.03,0.01,7.93,0.0,0.0,0,,,1,0.0,7.93,0.0,0.0
chacos,53076,139642,26497,4.48,1.73,1.7,7.910000000000001,0.0,0.0,6,2025-09-19,2025-10-20,32,0.19,7.910000000000001,0.0,0.0
scholasticparents,81029,83609,0,6.83,1.04,0.0,7.87,0.0,0.0,0,,,1,0.0,7.87,0.0,0.0
signaturehardware,86747,3689,7265,7.31,0.05,0.47,7.829999999999999,0.0,0.0,0,,,1,0.0,7.829999999999999,0.0,0.0
adi-emea,70506,150883,0,5.94,1.87,0.0,7.8100000000000005,0.0,0.0,0,,,1,0.0,7.8100000000000005,0.0,0.0
blundstone,55283,251764,0,4.66,3.13,0.0,7.79,0.0,0.0,0,,,1,0.0,7.79,0.0,0.0
maxwarehouse,91707,0,0,7.73,0.0,0.0,7.73,0.0,0.0,0,,,1,0.0,7.73,0.0,0.0
o2,90706,0,0,7.65,0.0,0.0,7.65,0.0,0.0,0,,,1,0.0,7.65,0.0,0.0
pandoraapac,65484,169221,0,5.52,2.1,0.0,7.619999999999999,0.0,0.0,0,,,1,0.0,7.619999999999999,0.0,0.0
laroche-posay,64702,143234,4848,5.46,1.78,0.31,7.55,0.0,0.0,0,,,1,0.0,7.55,0.0,0.0
zoskinhealth,67143,134459,2786,5.66,1.67,0.18,7.51,0.0,0.0,0,,,1,0.0,7.51,0.0,0.0
marketlab,82591,39631,0,6.96,0.49,0.0,7.45,0.0,0.0,0,,,1,0.0,7.45,0.0,0.0
aliceandolivia,79707,58537,0,6.72,0.73,0.0,7.449999999999999,0.0,0.0,0,,,1,0.0,7.449999999999999,0.0,0.0
worx,71179,107133,1707,6.0,1.33,0.11,7.44,0.0,0.0,0,,,1,0.0,7.44,0.0,0.0
stance,65469,152167,0,5.52,1.89,0.0,7.409999999999999,0.0,0.0,0,,,1,0.0,7.409999999999999,0.0,0.0
gillette,48770,263618,0,4.11,3.27,0.0,7.380000000000001,0.0,0.0,0,,,1,0.0,7.380000000000001,0.0,0.0
lights4fun,69569,119138,0,5.87,1.48,0.0,7.35,0.0,0.0,0,,,1,0.0,7.35,0.0,0.0
oneractiveeu,39288,324089,3,3.31,4.03,0.0,7.34,0.0,0.0,0,,,1,0.0,7.34,0.0,0.0
