retailer_moniker,project_id_prod,project_id_qa,project_id_stg,md5_hash
ae,monitor-b6bb43d-us-prod,monitor-b6bb43d-us-qa,monitor-b6bb43d-us-stg,b6bb43d
aeroflowbreastpumps,monitor-2fbc9c3-us-prod,monitor-2fbc9c3-us-qa,monitor-2fbc9c3-us-stg,2fbc9c3
aeropostale,monitor-4cf4378-us-prod,monitor-4cf4378-us-qa,monitor-4cf4378-us-stg,4cf4378
aesop,monitor-0fba5d3-us-prod,monitor-0fba5d3-us-qa,monitor-0fba5d3-us-stg,0fba5d3
aether,monitor-ecb140a-us-prod,monitor-ecb140a-us-qa,monitor-ecb140a-us-stg,ecb140a
agjeans,monitor-0a1721d-us-prod,monitor-0a1721d-us-qa,monitor-0a1721d-us-stg,0a1721d
agolde,monitor-6de2f62-us-prod,monitor-6de2f62-us-qa,monitor-6de2f62-us-stg,6de2f62
agtest,monitor-2d84544-us-prod,monitor-2d84544-us-qa,monitor-2d84544-us-stg,2d84544
ahava,monitor-498cdba-us-prod,monitor-498cdba-us-qa,monitor-498cdba-us-stg,498cdba
ahavaus,monitor-8afe94a-us-prod,monitor-8afe94a-us-qa,monitor-8afe94a-us-stg,8afe94a
ahmar123,monitor-81426be-us-prod,monitor-81426be-us-qa,monitor-81426be-us-stg,81426be
aigle,monitor-f5bc576-us-prod,monitor-f5bc576-us-qa,monitor-f5bc576-us-stg,f5bc576
aimeleondore,monitor-097c999-us-prod,monitor-097c999-us-qa,monitor-097c999-us-stg,097c999
airup,monitor-42593e3-us-prod,monitor-42593e3-us-qa,monitor-42593e3-us-stg,42593e3
alange-soehne,monitor-0233714-us-prod,monitor-0233714-us-qa,monitor-0233714-us-stg,0233714
alange-soehne-qa,monitor-33e2d4b-us-prod,monitor-33e2d4b-us-qa,monitor-33e2d4b-us-stg,33e2d4b
alexandermcqueen,monitor-a2a1269-us-prod,monitor-a2a1269-us-qa,monitor-a2a1269-us-stg,a2a1269
alexandrebirman,monitor-a01b6a2-us-prod,monitor-a01b6a2-us-qa,monitor-a01b6a2-us-stg,a01b6a2
alexisbittar,monitor-1749ab4-us-prod,monitor-1749ab4-us-qa,monitor-1749ab4-us-stg,1749ab4
alexmill,monitor-30c7600-us-prod,monitor-30c7600-us-qa,monitor-30c7600-us-stg,30c7600
aliceandolivia,monitor-72d075a-us-prod,monitor-72d075a-us-qa,monitor-72d075a-us-stg,72d075a
aliceandolivia-staging,monitor-0c62a8a-us-prod,monitor-0c62a8a-us-qa,monitor-0c62a8a-us-stg,0c62a8a
allbirds-ca,monitor-6b1eb79-us-prod,monitor-6b1eb79-us-qa,monitor-6b1eb79-us-stg,6b1eb79
allenedmonds,monitor-3c71163-us-prod,monitor-3c71163-us-qa,monitor-3c71163-us-stg,3c71163
allheart,monitor-0e8cdf0-us-prod,monitor-0e8cdf0-us-qa,monitor-0e8cdf0-us-stg,0e8cdf0
allpoints,monitor-ab2e35b-us-prod,monitor-ab2e35b-us-qa,monitor-ab2e35b-us-stg,ab2e35b
allposters,monitor-9dc450e-us-prod,monitor-9dc450e-us-qa,monitor-9dc450e-us-stg,9dc450e
altardstate,monitor-6cb3559-us-prod,monitor-6cb3559-us-qa,monitor-6cb3559-us-stg,6cb3559
altardstatesimplereturns,monitor-da530b8-us-prod,monitor-da530b8-us-qa,monitor-da530b8-us-stg,da530b8
altrarunning,monitor-b88b803-us-prod,monitor-b88b803-us-qa,monitor-b88b803-us-stg,b88b803
amantelingerie,monitor-d6ae73e-us-prod,monitor-d6ae73e-us-qa,monitor-d6ae73e-us-stg,d6ae73e
americanblinds,monitor-02be4e5-us-prod,monitor-02be4e5-us-qa,monitor-02be4e5-us-stg,02be4e5
americangirl,monitor-35f49ed-us-prod,monitor-35f49ed-us-qa,monitor-35f49ed-us-stg,35f49ed
americanmedia,monitor-c9efdee-us-prod,monitor-c9efdee-us-qa,monitor-c9efdee-us-stg,c9efdee
americanmuscle,monitor-68f6c7c-us-prod,monitor-68f6c7c-us-qa,monitor-68f6c7c-us-stg,68f6c7c
americantourister,monitor-0f89c5b-us-prod,monitor-0f89c5b-us-qa,monitor-0f89c5b-us-stg,0f89c5b
americantrucks,monitor-56df977-us-prod,monitor-56df977-us-qa,monitor-56df977-us-stg,56df977
ameristep,monitor-b36398e-us-prod,monitor-b36398e-us-qa,monitor-b36398e-us-stg,b36398e
amiri,monitor-b57e0bd-us-prod,monitor-b57e0bd-us-qa,monitor-b57e0bd-us-stg,b57e0bd
amorepacific,monitor-2036759-us-prod,monitor-2036759-us-qa,monitor-2036759-us-stg,2036759
amsoil,monitor-2a6b8f2-us-prod,monitor-2a6b8f2-us-qa,monitor-2a6b8f2-us-stg,2a6b8f2
amtouch,monitor-0006f9c-us-prod,monitor-0006f9c-us-qa,monitor-0006f9c-us-stg,0006f9c
amway,monitor-f6c6dd2-us-prod,monitor-f6c6dd2-us-qa,monitor-f6c6dd2-us-stg,f6c6dd2
amwaymalaysia,monitor-ac0b213-us-prod,monitor-ac0b213-us-qa,monitor-ac0b213-us-stg,ac0b213
anastasiabeverlyhills,monitor-f3ffd27-us-prod,monitor-f3ffd27-us-qa,monitor-f3ffd27-us-stg,f3ffd27
anatomie,monitor-fcb2767-us-prod,monitor-fcb2767-us-qa,monitor-fcb2767-us-stg,fcb2767
andcollar,monitor-e7c6260-us-prod,monitor-e7c6260-us-qa,monitor-e7c6260-us-stg,e7c6260
andieswim,monitor-d0fd59b-us-prod,monitor-d0fd59b-us-qa,monitor-d0fd59b-us-stg,d0fd59b
andindia,monitor-e06b65a-us-prod,monitor-e06b65a-us-qa,monitor-e06b65a-us-stg,e06b65a
andrewchristian,monitor-d739375-us-prod,monitor-d739375-us-qa,monitor-d739375-us-stg,d739375
anine bing- pixior,monitor-7db945d-us-prod,monitor-7db945d-us-qa,monitor-7db945d-us-stg,7db945d
aninebing,monitor-4456c03-us-prod,monitor-4456c03-us-qa,monitor-4456c03-us-stg,4456c03
annieselke,monitor-6ee4924-us-prod,monitor-6ee4924-us-qa,monitor-6ee4924-us-stg,6ee4924
annsacks,monitor-5269fcf-us-prod,monitor-5269fcf-us-qa,monitor-5269fcf-us-stg,5269fcf
anntaylor,monitor-3db1866-us-prod,monitor-3db1866-us-qa,monitor-3db1866-us-stg,3db1866
anntaylorfactory,monitor-9ed3536-us-prod,monitor-9ed3536-us-qa,monitor-9ed3536-us-stg,9ed3536
anova,monitor-7031c53-us-prod,monitor-7031c53-us-qa,monitor-7031c53-us-stg,7031c53
anovawarranty,monitor-eaee2f0-us-prod,monitor-eaee2f0-us-qa,monitor-eaee2f0-us-stg,eaee2f0
antalite,monitor-dd7689e-us-prod,monitor-dd7689e-us-qa,monitor-dd7689e-us-stg,dd7689e
anthropologie,monitor-dd12e09-us-prod,monitor-dd12e09-us-qa,monitor-dd12e09-us-stg,dd12e09
anthropologie1,monitor-704bf6d-us-prod,monitor-704bf6d-us-qa,monitor-704bf6d-us-stg,704bf6d
apc,monitor-cbdeaeb-us-prod,monitor-cbdeaeb-us-qa,monitor-cbdeaeb-us-stg,cbdeaeb
apeainthepod,monitor-8486993-us-prod,monitor-8486993-us-qa,monitor-8486993-us-stg,8486993
apexgear,monitor-0c11843-us-prod,monitor-0c11843-us-qa,monitor-0c11843-us-stg,0c11843
appleseeds,monitor-d003860-us-prod,monitor-d003860-us-qa,monitor-d003860-us-stg,d003860
arb-lasership1,monitor-bef50b3-us-prod,monitor-bef50b3-us-qa,monitor-bef50b3-us-stg,bef50b3
arcteryx,monitor-005203b-us-prod,monitor-005203b-us-qa,monitor-005203b-us-stg,005203b
