Value,SKU,Service,Project/Account ID,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11
Actual,Cloud Load Balancer Forwarding Rule Minimum for Americas (multi-region),Networking,narvar-data-lake,16.7395689,16.222080600000005,16.739586900000003,16.739560800000007,15.119630100000002,16.7171238,16.199627399999997,16.7396265,16.199643599999998,16.7396382,16.739675100000003,16.163915400000004,16.7397048,
Actual,Managed Notebooks Disk for GCE usage - SSD Persistent Disk in us-central1,Notebooks,narvar-data-lake,15.299345700000003,15.2993772,15.299393400000001,15.2993304,15.299431199999999,15.299532900000003,15.299568899999997,15.298950600000001,15.299622900000001,15.299502299999997,15.299496,15.299635499999997,15.299525699999997,
Actual,Local Disk Time PD Standard Iowa,Cloud Dataflow,narvar-data-lake,3.1064084999999997,11.800766700000004,16.3043775,12.14991,9.424439999999999,10.3049856,11.495076300000004,12.755197799999998,13.2650901,10.9513233,12.7197135,17.0895186,15.541343100000002,
Actual,Vertex Colab Storage for GCE usage - SSD Persistent Disk in us-west1,Vertex AI,narvar-data-lake,,,,,,9.8374815,18.3595446,18.359467200000005,18.3595554,18.359552700000005,18.359552700000005,18.359560799999997,18.359562600000004,
Actual,Cloud SQL for PostgreSQL: Zonal - IP address reservation in Americas,Cloud SQL,narvar-data-lake,20.087999999999997,19.467,20.087999999999997,20.088,18.144000000000002,20.061000000000007,6.887982600000001,,,,,6.078613500000001,,
Actual,External IP Charge on a Spot Preemptible VM,Compute Engine (GCE),narvar-data-lake,24.497641800000004,10.9126431,8.9555355,6.550002900000001,5.0615505,6.9626331000000015,7.7529455999999985,8.1180027,8.291230200000001,9.604411199999998,10.229020200000003,10.8831123,10.966593600000001,
Actual,Cloud SQL for PostgreSQL: Regional - IP address reservation in Americas,Cloud SQL,narvar-data-lake,20.087999999999997,19.467,20.087999999999997,20.088,18.144,20.06100000000001,6.888334500000001,,,,,,,
Actual,Storage PD Snapshot,Cloud SQL,narvar-data-lake,4.068799199999999,4.1255028000000005,4.186169100000001,4.2341004,4.243290300000001,4.271408099999999,17.141890500000002,17.237108699999997,15.984426599999999,15.9408324,15.753080700000003,16.086029399999997,,
Actual,Networking Cloud Nat Gateway Uptime,Networking,narvar-data-lake,,,8.158367700000001,7.984590300000001,8.229192300000001,8.647774200000002,9.2381382,10.736381700000003,9.939710700000001,10.8209151,9.4483926,14.533732800000003,18.253110600000003,
Actual,Gemini 2.0 Flash Text Output - Batch Predictions,Vertex AI,narvar-data-lake,,,,,,,,,,,16.1467128,57.1691088,34.1495982,
Actual,Global External Application Load Balancer Inbound Data Processing for Oregon (us-west1),Networking,narvar-data-lake,48.7622556,5.888340899999999,5.379096599999999,3.6858546,4.4264493,5.8275405000000005,4.972140900000001,5.248307700000001,3.7937457000000006,3.476523600000001,2.6480691,2.5917759,3.1759920000000004,
Actual,Cloud Run Network Internet Data Transfer Out North America to North America,Cloud Run,narvar-data-lake,2.1574935,8.4533913,13.6237599,7.7621265,5.941315799999998,6.9473924999999985,6.755273099999999,6.297031800000002,5.909940000000001,5.894271900000001,6.3106461000000005,6.804177300000001,7.103291399999999,
Actual,Network Data Transfer GCP Inter Region within Northern America,Cloud Storage (GCS),narvar-data-lake,,,5.019757200000001,24.8678928,4.1441697,3.8284164000000005,2.7608894999999998,13.628185200000003,9.1741932,14.864189400000003,4.5299673,1.2437496,2.7520074,
Actual,Shuffle chargeable data processed for Iowa,Cloud Dataflow,narvar-data-lake,,,,,,,,,,,,75.6811386,,
Actual,Archive Storage US Multi-region,Cloud Storage (GCS),narvar-data-lake,,,,,,,,,,,,15.519952800000002,56.95718039999998,
Actual,Services Min Instance CPU (Request-based billing),Cloud Run,narvar-data-lake,,,,,,,,8.8411644,11.6616717,12.0548187,12.270010500000003,11.663758800000002,11.859591600000002,
