classification_type,job_count,total_slot_ms,avg_active_slots,p99_total_seconds,slot_hours
AUTOMATION,4248804,276408165693,50.04471856174333,13.0,76780.04602583333
HUB_SERVICE,317534,538361035353,70.70050676739207,56.5,149544.7320425
INTERNAL_USER,8837,140091286165,134.06782163461443,37.666666666666664,38914.24615694444
UNKNOWN,3280,35188663270,89.96172928890238,77.5,9774.628686111111
